,_BANK,entropy
201,brigs,4.821110588216884
202,heils,5.452378037176575
203,stoae,5.77100817241377
204,otaku,4.3912162995279065
205,bonne,4.274835875286978
206,styli,4.801689428026953
207,soles,5.349907962607937
208,gadjo,3.9186442301967617
209,pryer,4.178135737058185
210,gager,4.492495729093576
211,miasm,4.372027918903237
212,frees,4.837978853837626
213,tigon,4.622937429521046
214,cutty,3.5984024977321996
215,hiver,4.496252185203915
216,liner,5.336954755268208
217,swapt,4.748833211262399
218,tarok,5.068846898969873
219,those,5.208615221137272
220,tewit,4.092191036578817
221,tilth,3.9744521431520163
222,badge,4.708947087980155
223,tibia,4.097651841188251
224,cacks,4.210201608365122
225,blain,4.79839966183525
226,numen,4.027773668558618
227,piert,5.124246521155978
228,mount,4.605446884510036
229,panax,3.662839919888765
230,baton,4.849322783241024
231,parma,4.3309817003434965
232,uncap,4.211064250443157
233,sewin,5.086282116121856
234,yetts,4.585284888529892
235,guide,4.658212411834844
236,punch,3.875523686557238
237,plumy,4.007323174828095
238,steam,5.331770309319891
239,brede,4.353611723020204
240,firie,4.27773182568505
241,jiaos,4.915738430552126
242,marri,4.432837447740839
243,dykey,3.5993288350223533
244,scrip,4.851311641068705
245,pater,5.430142555830934
246,crusy,4.605632156191011
247,wisps,4.047923650068411
248,brusk,4.325889286072116
249,lassu,4.617661063472694
250,loafs,5.201926818464889
251,hewer,4.109032936319756
252,chums,4.335538174373223
253,turme,5.001932788316598
254,enter,4.612119522752423
255,dimes,5.370608318319835
256,forme,4.788058760399379
257,fiefs,4.25777646526711
258,jinni,2.586253244896166
259,zebub,3.0288043788818197
260,bowls,4.637748611614503
261,jawan,3.34463955889321
262,jotun,3.9920853340214313
263,frows,4.503434372004255
264,lucid,4.417823301296183
265,wanly,4.508372692405687
266,lores,5.977086519338513
267,zines,5.0174781698502695
268,holly,3.8234638453860654
269,based,5.293057623476986
270,shyer,5.098786370546094
271,sluse,4.843001761808471
272,frock,3.947082918037464
273,scaly,5.003510602213921
274,voles,5.260021594533392
275,circs,4.493128260316539
276,uteri,4.865558448566233
277,koine,5.031616145976644
278,feese,3.7551194057157806
279,artic,4.942229671194397
280,geits,5.413090703840152
281,faery,4.87159675463115
282,toons,4.787974882007108
283,douks,4.810335872176263
284,wagga,2.970678805892887
285,uhlan,4.548335536450343
286,quids,4.190716159659846
287,bawls,4.844540506393438
288,auras,5.067401084330955
289,tirrs,4.874574859511703
290,harry,4.198371037858566
291,scoog,4.008118308178748
292,euked,3.9892534687945576
293,cried,5.100906634577273
294,ragus,5.241002449153223
295,jorum,3.9364814332262847
296,abuts,4.955980947831979
297,saddo,4.62787231023827
298,stint,4.463318128080935
299,fatso,4.9112260145046776
300,oared,5.528654025439988
301,ukase,4.99566747510874
302,lefts,5.103188790923185
303,gyron,4.440447618486189
304,ureas,5.682801968800917
305,largo,5.015425524943118
306,wordy,4.341140836284525
307,hijra,4.192155630529669
308,rebid,4.868578909168084
309,fangs,4.7667810166496185
310,hejab,3.9715572288244316
311,bowat,4.426970285534907
312,skirr,4.2939357891361665
313,ozeki,3.917566880801256
314,voars,5.220236432153292
315,ceili,4.321396796645042
316,ketes,4.866958181284383
317,vired,4.732468066914001
318,wersh,4.7675974365682805
319,ratio,5.341473941069979
320,darga,4.3481843857754505
321,fames,5.27922450699574
322,mirks,4.953362669222569
323,hawed,4.6265992334860115
324,biome,4.816640766029539
325,ogres,5.44204075184571
326,newer,4.303165332560972
327,prats,5.481648007954292
328,grubs,4.57372982686277
329,lanch,4.571073933650211
330,toils,5.5693642354719515
331,rudis,5.164286984095849
332,dorad,4.540163348661664
333,savor,5.139647190137231
334,homas,5.157206012750712
335,cardy,4.810986332869411
336,wrier,4.2857777764467615
337,swore,5.277275147878021
338,hobby,3.3010816329130424
339,telex,4.081442225994263
340,bavin,4.271689364885325
341,obole,4.21000593301095
342,speel,4.836673919998734
343,keets,4.77529246545645
344,rosts,4.95660700674855
345,bolls,4.43043574244532
346,sepia,5.562838768514683
347,afore,5.018677387562626
348,cooky,3.5996391582033427
349,twank,4.19156132518746
350,terfs,5.286985952773639
351,poler,5.276143194855301
352,waney,4.873858908649063
353,netts,4.795664426657
354,cesti,5.1733296830286735
355,plues,5.339793351826554
356,oxbow,2.534035136959978
357,artsy,5.157396255936374
358,prore,4.540694105650734
359,quate,4.476854615801728
360,lweis,5.095890222619124
361,fined,4.658190922455034
362,cloys,4.8630114867560525
363,sulfa,4.834098621860558
364,miltz,3.99690270930376
365,earst,5.706776667728381
366,galut,4.743950327202784
367,taluk,4.6868848493952795
368,thumb,3.7175745415475023
369,deely,4.375194046998005
370,zinky,3.6098954635523812
371,vapes,5.139806217852406
372,vouge,4.248998880007938
373,cists,4.577399631690654
374,walks,4.824278803931472
375,tikis,4.289902865285455
376,coits,5.337748378883306
377,touns,5.291579668816213
378,indue,4.642132591690295
379,reaps,5.750146007699083
380,tasks,4.694467187736706
381,gadso,4.911150738700763
382,kiddo,3.6457069011142504
383,weedy,3.842947643149882
384,faxed,4.138703927834684
385,sprag,4.987989172816265
386,sorex,5.1928056033197105
387,pardi,4.976058470064511
388,dinky,4.205754671002466
389,yrapt,4.733716352110642
390,scuds,4.104661854972243
391,breem,4.289061913828711
392,seise,4.6856986578565305
393,finos,4.94055734846105
394,caboc,3.8329578483280793
395,dzhos,4.105304097222169
396,mungo,4.13830844859398
397,miler,5.194882115072954
398,learn,5.482539078151535
399,saine,5.962726506215153
400,reins,5.762773647832095
401,pales,5.833000730810025
402,tyiyn,3.727543908260508
403,pujas,4.436576525371734
404,occur,3.679447404608089
405,greys,4.998233469120836
406,druid,4.024165164648074
407,milfs,4.661320637388364
408,britt,4.036655941594768
409,coala,4.537823099580262
410,doona,4.385432495128948
411,clave,4.633252198218417
412,kidel,4.778791099117271
413,rucks,4.622485825891764
414,pated,5.174873094608053
415,sudor,5.132986567648965
416,fleam,4.563404459519262
417,flied,4.682950886029558
418,toots,4.1152247914222
419,dwaum,3.9888131154082567
420,ghast,4.697344933816432
421,pudor,4.536701162419869
422,divos,4.710056393279915
423,civic,2.499586290205425
424,mosed,5.214251359472929
425,nazes,5.180167679090476
426,erven,4.119321733270623
427,gobby,3.273878746460889
428,robot,4.114429792027725
429,pelon,4.98728170166594
430,dabba,3.2866684115950875
431,odder,4.254859964209662
432,sucky,4.255198657428819
433,natis,5.604823854232989
434,hardy,4.722200392978783
435,asker,5.188283380749774
436,inrun,3.9033694586347165
437,apode,4.9854174132298485
438,hillo,3.9903973312452043
439,porny,4.726540985200398
440,fifty,3.360979401825979
441,muras,5.378331426958001
442,yours,5.1259150007887255
443,bluds,4.626829714243192
444,jumbo,3.339293872340901
445,huhus,3.141655023029525
446,samfu,4.59588877790345
447,toing,4.676999490948757
448,dopey,4.7853134853453945
449,pours,5.214044036351972
450,koses,4.892221907470326
451,saims,4.955154640410106
452,adman,3.9852734175191697
453,liart,5.330327030132251
454,thowl,4.118375435293775
455,terse,5.17623441528801
456,mouls,5.109797971266967
457,goyle,4.791331145628707
458,dauby,4.370231267418782
459,whorl,4.233095774736445
460,strap,5.257386921945526
461,ngaio,4.670774522524724
462,bedim,4.465480160891502
463,tacky,4.390990540366607
464,hoppy,3.432729899173931
465,reify,4.66835322184469
466,steme,4.723155434669854
467,giros,5.324063232633678
468,biffs,3.6430966628444903
469,bawty,4.203875990486359
470,gotta,4.171799069544313
471,worts,5.142946810249677
472,khadi,4.271179831809681
473,skyed,4.714748208542515
474,fides,5.090962936113465
475,towse,5.071352123347724
476,agood,3.975045116823947
477,orpin,4.702787157663699
478,kaids,5.199115851125059
479,grate,5.303221678629519
480,ergot,4.850380831845745
481,fetes,4.7447990077637705
482,super,5.327002483914385
483,loach,4.697273290412142
484,karzy,4.085887838964233
485,tythe,3.877688632377725
486,gaups,4.9386105266565385
487,crost,5.06964374687346
488,cohog,3.3980555230052314
489,dumky,3.7600686673688877
490,awato,4.1008047714798135
491,gloom,3.6974487594845944
492,treat,4.818639098986528
493,jagas,4.00036120796494
494,eiked,4.204294941372156
495,nanas,4.299249524955576
496,griff,3.3185965814360334
497,arcus,5.2142524190814585
498,quyte,3.9213509009478433
499,bluey,4.590549916126318
500,rumpo,4.33945066483772
501,poynt,4.488193761823862
502,chemo,4.329241191999146
503,kydst,4.15311173130067
504,spark,4.92997254030886
505,sella,5.084126911426707
506,tsuba,4.620975035910721
507,beets,4.8186639272642715
508,yeses,4.355199271588892
509,typic,4.060551191709934
510,dosha,4.928420218400946
511,ingle,4.682371648721795
512,doric,4.801231865277575
513,kipps,3.928347226778583
514,mavie,4.761827985023805
515,dicks,4.593113679128001
516,coups,4.84842443969648
517,steen,4.975087681887389
518,packs,4.785263813618775
519,slubs,4.228219299725735
520,swire,5.25459122054991
521,panga,4.041721056899739
522,syrah,5.094218478699262
523,okays,4.790787002518888
524,styed,5.020052079614991
525,tanto,4.495874148080876
526,sidhe,5.168035291239411
527,fifth,3.258087282586046
528,fungi,3.819721494562436
529,jimmy,2.8769419313966567
530,pians,5.408934526586323
531,spiky,4.426396536264359
532,sulfo,4.665870065506924
533,berob,4.229660121464916
534,pedis,5.292056937066246
535,breme,4.266182479813618
536,ayres,5.763487243325322
537,nalla,3.8261049927273834
538,caned,5.185472065016226
539,kells,4.561028938431418
540,duroc,4.558907260890594
541,galea,4.729409181499494
542,padis,5.321301920766932
543,dinar,5.158064652042297
544,siris,4.29561514336959
545,emote,4.439077026909246
546,ethne,4.131695313450645
547,spaes,5.127026468396497
548,dated,4.622443973030073
549,hests,4.73033298688809
550,certy,4.955479077585512
551,folly,3.6278606235312303
552,slobs,4.488091101665315
553,spode,5.18843776774723
554,donga,4.6921423560124484
555,gored,5.10223830389195
556,pyral,4.748227059752532
557,thars,5.373442018381633
558,scale,5.555127248829869
559,swayl,4.651802246188343
560,shent,5.128461132671366
561,sound,5.085640249848204
562,flubs,4.260511535546468
563,untax,3.9780283391960247
564,pujah,3.6903229291690147
565,toner,5.471809089676281
566,relic,5.054644449487867
567,scaup,4.73574125790287
568,throe,5.181087712907779
569,redox,4.396182711121891
570,dungs,4.628846027318293
571,bitts,4.332259680763497
572,voice,4.572291542207334
573,suave,5.076684525701992
574,hired,5.055355669891844
575,solds,4.767123360788413
576,feces,4.504525816462339
577,zambo,3.8447987981567167
578,puffs,3.5218609371760454
579,rungs,4.864279988954566
580,bilks,4.721135890797612
581,biner,5.06430209542835
582,resus,4.95350327798389
583,arval,4.03353393382962
584,wrack,4.126620864086962
585,gonad,4.795331512986676
586,primi,3.781219409972273
587,flaky,4.074168011394642
588,fagot,4.424377306058203
589,choux,3.483470832556902
590,revue,4.103591840939472
591,acini,4.016066339876712
592,wives,4.665905631079072
593,braes,5.75616886460829
594,nohow,3.3652320064888905
595,sands,4.9030974958896225
596,whens,4.688744848132777
597,anole,5.365173184204221
598,cajun,3.9839478068977052
599,weils,5.27050087659058
600,coaly,4.8984995714271875
601,posed,5.226938960927484
602,ingan,3.8337487587607733
603,aread,4.811663044468307
604,slorm,5.129962216694303
605,fices,5.0308473048041655
606,ewhow,3.2441874879608306
607,rones,5.896496511217897
608,wales,5.566224601796441
609,shawm,4.393523500341432
610,luach,4.43944448634147
611,salmi,5.345387523540329
612,varve,4.1990718436179195
613,keeve,3.0549496952430726
614,skelp,4.762921152665134
615,heapy,4.711622502534806
616,worst,4.902065224445863
617,lotos,4.773353047375193
618,perns,5.519564768365053
619,dhaba,3.7693814549409956
620,dyers,5.187367164729368
621,choke,4.415072708890283
622,feels,4.670246504417046
623,maxes,5.004829634242849
624,tapir,5.156941791759298
625,pulis,5.05137718372932
626,fasti,4.9203685390021255
627,garbs,5.119783661550372
628,nabla,4.1935131623625
629,walds,5.008540872313267
630,haply,4.471516757049814
631,bulge,4.439615709503094
632,larva,4.161214913656999
633,camel,5.110649567972783
634,wicky,3.615937913538995
635,moggy,3.3934597356550578
636,spods,4.382122263402071
637,carex,4.770460935673676
638,rotal,5.283443835587347
639,solus,4.791346743155843
640,extra,4.4710066435316715
641,abrim,4.588997219326151
642,pewee,3.3619556620717264
643,garre,4.730309981024397
644,chons,4.816196325194149
645,potin,4.771056738433706
646,schwa,4.223479457629848
647,snarl,5.419542038831391
648,rejon,4.496307682720118
649,purls,5.094525822499831
650,borel,5.225479213706926
651,gilas,5.36153604614416
652,slart,5.590742317706586
653,betid,4.7735548977488556
654,ebbed,3.255924572089422
655,rager,4.633150365302171
656,incel,4.795687994042022
657,lowed,4.734738881830098
658,pappi,3.227591065899177
659,limit,3.9630591882377946
660,bulla,3.911640377763712
661,leggo,4.025216799512754
662,bazoo,3.514880433320467
663,agley,4.879265226139217
664,crust,4.814082502465536
665,untin,3.802196782035179
666,piing,3.5537582363149007
667,bapus,4.8833954608633485
668,gadje,4.267168392592772
669,lolog,3.282673854841966
670,flora,4.741714027724792
671,cajon,4.192894559280112
672,manky,4.377394115514292
673,tubal,4.620248146062716
674,nails,5.649484160246178
675,ravin,4.696820517197249
676,ourie,5.2521932817265125
677,omovs,3.7598503493311566
678,bowse,4.730103387062789
679,elogy,4.552256202301081
680,seven,4.521757419026493
681,heist,5.203161814613047
682,maces,5.532619148687591
683,misty,4.70321376225873
684,deems,4.726300122505034
685,guest,4.857334562965419
686,robin,4.749921926775776
687,swoun,4.591333506229577
688,ruths,4.9018235962779775
689,donee,4.807918472790014
690,jokes,4.66930717726775
691,lathe,5.206036090985868
692,spier,5.498416341199975
693,aboil,4.7499722356174505
694,boost,4.259919585952446
695,crore,4.545104716359072
696,homey,4.6577624353186895
697,enure,4.479764617212296
698,yarak,4.206474877087528
699,agila,4.2056254725188404
700,egger,3.5084092353775294
701,whirl,4.192963449329454
702,pangs,5.0374970932499705
703,foxie,4.140247996344126
704,pooks,4.232096597169495
705,serre,4.653620636524833
706,gelee,3.7852688561148136
707,clock,3.4986475232142418
708,docks,4.663646507296596
709,chews,4.452657554046514
710,dewan,4.760379639961256
711,blind,4.401711973937061
712,machs,4.805977287877405
713,pervo,4.540889300571524
714,rarks,4.750694324622146
715,haets,5.594470345737799
716,mooch,3.5633425481236976
717,towed,4.750093364172842
718,fonts,4.935190249942326
719,rayas,4.935479813998091
720,skyrs,4.097140481475354
721,aurar,3.943513018969996
722,nabis,5.266750224928488
723,tames,5.782877244589102
724,cline,5.015329404711464
725,alula,3.644352489777905
726,peles,5.0669009950841275
727,drant,5.06445867330334
728,oozed,3.7890580080473026
729,knoll,3.749118288971239
730,junky,3.345893951462704
731,patsy,4.962782358180731
732,blank,4.349296000887441
733,mawrs,5.030449639458182
734,buran,4.773485584940824
735,septa,5.530376629606129
736,serer,4.648990294330567
737,noups,4.958088764592365
738,snods,4.580087339002152
739,dryad,4.083259135495793
740,algal,3.4800263798958055
741,poles,5.662613481916855
742,vagus,4.519083798100325
743,coost,4.367498157235394
744,rigol,4.749111260303921
745,dicky,3.96499165005176
746,dried,4.540324983470546
747,sarky,5.177037653791684
748,dungy,4.0060337196198565
749,shuln,4.720991004008681
750,belar,5.237712263138193
751,locum,4.288930257005427
752,naiks,5.283804682601295
753,suent,5.339599176461293
754,dolls,4.607924783160987
755,pouts,5.111854428736008
756,deros,5.715386297068212
757,abers,5.431069970109483
758,dumps,4.489206126836016
759,inure,4.966464921087217
760,twink,3.9792354742353075
761,selle,4.4948534753656215
762,blaze,4.419180970801841
763,elans,5.628773814409229
764,coria,5.1926845584503685
765,baals,4.816560931065734
766,cromb,4.193887721759551
767,alkos,5.185625748869776
768,years,5.694115019545316
769,mages,5.4447404474267795
770,casus,4.677858101714912
771,divot,4.2716082576960295
772,shris,4.67879070186399
773,fluty,4.014140415568968
774,glide,4.784455916940578
775,kyack,3.3708454544226427
776,jowly,3.5442552976243955
777,heuch,3.6255862448157283
778,lavvy,3.4708762160292435
779,aisle,5.723747432691019
780,riant,5.3036384184056615
781,etats,4.896146360584979
782,dines,5.584838904723524
783,vigor,4.181979220704224
784,howes,5.0360661161570475
785,whiss,3.9695357155468947
786,dixie,3.6596211518973787
787,lunge,4.684451800499238
788,sires,5.422196656785473
789,femme,3.2330104881548802
790,phish,3.76011675506621
791,tryst,4.155368605223035
792,yente,4.51787243788893
793,wacky,3.8947121864912395
794,dhole,4.884436511735431
795,cauks,4.932317742905389
796,ragde,5.140991239603701
797,akkas,3.7238539823631904
798,coils,5.342842008125876
799,havoc,4.038458597783176
800,deers,5.0974436473728995
801,yuppy,2.542478135433464
802,rimer,4.487884845917769
803,octet,4.227923905627245
804,niter,5.296358455521942
805,tatou,4.294718415706907
806,tufty,3.307361490758447
807,beins,5.354632332803666
808,veers,4.635094483921296
809,tipis,4.409720630819777
810,sculk,4.394346218959177
811,sewed,4.5353284065662764
812,wangs,4.778372943075986
813,buist,4.69759709917378
814,atigi,3.9328000330207016
815,kotch,4.033562065393838
816,caffs,4.0220219023149895
817,tavah,3.787830384553362
818,asses,4.3998540737948275
819,vaute,4.799076631438869
820,situp,4.852382802511586
821,juvie,3.7369700215985615
822,nylon,3.8207675436410757
823,prank,4.593495475605619
824,mucho,3.9211561456174726
825,cager,5.105127760251337
826,warns,5.2797867768854845
827,lurve,4.5892252831829685
828,studs,4.290303066684569
829,yucks,4.214530153263261
830,lunts,5.11023068940072
831,zilch,3.653042621171664
832,lapin,4.935343094903605
833,motet,4.464372495520848
834,least,5.678905210629541
835,todde,4.397844431608696
836,spean,5.370370168775021
837,ponga,4.603734832275623
838,beaks,5.214731998869853
839,awmry,4.205823299642903
840,seamy,5.358045358132438
841,study,4.563986369480405
842,frost,4.795744006906476
843,coate,5.406605752315987
844,seirs,5.3123189431366455
845,tolas,5.730525864585262
846,rappe,4.586945337126832
847,lucks,4.517374464478258
848,rowed,4.8430135172390845
849,enarm,4.950446161700041
850,thans,5.225409222705216
851,tuber,4.8683796167529465
852,celts,5.434548358284956
853,aglet,5.0776247245766095
854,craic,4.2506026400847405
855,carob,4.821395756436624
856,sowar,5.23967957484146
857,topek,4.774645691007733
858,hutia,4.687736623329672
859,samba,4.398137084862533
860,towze,4.149372384188304
861,wolve,4.28660881339671
862,shlub,4.371016619842525
863,gamay,3.9276881538512542
864,naira,4.754675144512718
865,waspy,4.458440892760584
866,laith,5.012556386930606
867,adred,4.605557856490338
868,scail,5.251260587496207
869,wised,4.897564697053114
870,bices,5.198400898034528
871,lyric,4.463272805980528
872,fount,4.3493829014030885
873,beare,4.872291374335137
874,enzym,3.509107049590625
875,sling,4.849632037601665
876,elain,5.23838768197602
877,kusso,4.053577770752759
878,serai,5.97389953243633
879,vanes,5.375167700542556
880,fermi,4.587396356014992
881,birks,4.864782095830223
882,calla,3.734029965907268
883,lapel,4.592765486796922
884,heame,4.518153237869943
885,gauzy,3.817737016094092
886,ludos,5.075756891861265
887,jingo,3.8176216876942495
888,disks,4.283270183917578
889,avion,4.455666952633768
890,poley,5.027606332512656
891,manna,3.618963107793175
892,hasks,4.396257699084044
893,shuns,4.254148956128704
894,trest,4.717434876816165
895,quoit,4.018557636704871
896,pocks,4.590645183344847
897,evhoe,3.6768931729811793
898,sauba,4.518707951149298
899,chizz,2.7229032688816512
900,quoin,3.9394457676400685
901,mohel,4.811902380140959
902,boxes,4.732597204912241
903,cutes,5.330435412883319
904,frith,4.26646125441785
905,zanja,3.0882960936373562
906,kuias,5.156778759789973
907,premy,4.534140910072775
908,unsaw,4.450446264060773
909,forum,4.221539990561459
910,cabas,4.559096807278747
911,blume,4.457063319279675
912,faced,4.672684985533663
913,noahs,5.289438458341125
914,motts,4.494070904324459
915,mecca,4.090301387985011
916,kutis,4.857207944504968
917,spook,4.0221985667759075
918,hards,5.3331605233431985
919,guyed,4.365508620252191
920,parge,5.18160119159221
921,brews,4.805309429843501
922,rynds,4.826079449439715
923,shura,5.10345954650513
924,kembs,4.622142481470389
925,raird,4.617920619125919
926,porno,4.241769615628603
927,tenes,5.239713296083037
928,perea,4.996684494009399
929,twerk,4.307261670622158
930,coded,4.224136634660882
931,adopt,4.629909712683171
932,gutsy,4.3677349882016525
933,xeric,4.3232201100769325
934,salse,5.377916189084395
935,gleis,5.297042000459639
936,noxes,4.953212641418987
937,yorps,5.057355479941194
938,guana,4.112391178704172
939,choon,3.7208545457025064
940,puces,5.094460395438409
941,bivia,3.48547631275235
942,store,5.676176487743058
943,hilch,3.544030242139627
944,crude,4.800467114619672
945,stong,4.7871035781071605
946,sinus,4.649460762655667
947,psalm,4.696171669411231
948,credo,4.875963307543464
949,rotan,5.2696642363245765
950,fohns,4.563137345204265
951,moyls,4.949242065780966
952,aulos,5.460469327792296
953,doers,5.660855264668393
954,amido,4.647373601280612
955,yawps,4.588687263572096
956,paisa,4.729135113520432
957,eggar,4.09168784201506
958,wazoo,3.347723574723577
959,kacks,4.151241947298526
960,masus,4.655554321736245
961,needy,4.223917759425766
962,hived,4.251474188564158
963,junks,3.985219161778592
964,myall,3.908254410830662
965,benet,4.489845528618116
966,rials,5.772942182550001
967,blads,5.054421709788483
968,ictal,4.697847753530896
969,timps,4.873733035672204
970,yales,5.729915681987638
971,cebid,4.552374305147573
972,mneme,3.562458227739116
973,duett,4.138246157410961
974,witan,4.645954617590223
975,snell,4.627235466116857
976,whaur,4.279112143993665
977,arars,4.461562401537849
978,gotch,4.071234709361867
979,whoot,3.542054257111042
980,gawcy,3.936086304177258
981,weans,5.388562952229767
982,paire,5.543850694615138
983,perks,5.202575798218578
984,silds,4.7006102721783165
985,guard,4.6988379009788535
986,agrin,4.8197314475550685
987,hilar,5.0345817591568425
988,rayah,4.229891010212467
989,ropey,5.042857021982749
990,dormy,4.592786425103071
991,jukus,3.157821550387464
992,veils,5.132772872933826
993,psyop,3.639492902314258
994,palsa,4.653359666704507
995,pelts,5.435061790999223
996,podex,4.224756768852878
997,ronin,4.371632722836508
998,unjam,3.6821816394735984
999,newly,4.392439799928516
1000,crocs,4.472254348967756
1001,russe,4.811134967308341
1002,dhows,4.432853910940278
1003,slugs,4.260572059622466
1004,under,4.774638333679032
1005,hares,5.877489557317869
1006,dooly,4.064353631991204
1007,takas,4.7548944967156554
1008,telly,4.299047768280155
1009,ament,4.954446671891075
1010,sayne,5.600909944569086
1011,rerig,4.365718795428653
1012,filks,4.550851109567679
1013,rumor,3.996351248149384
1014,umiaq,3.771655822761701
